,ASVno,totalcount,Rel.abun,taxonomy,Genera
ASV_1021,ASV_1021,222,0.014462079,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
ASV_1022,ASV_1022,222,0.014462079,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
ASV_1023,ASV_1023,221,0.014396935,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;Gliomastix;Gliomastix tumulicola ,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;Gliomastix
ASV_1024,ASV_1024,221,0.014396935,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Cucurbitariaceae;Pyrenochaetopsis;Pyrenochaetopsis tabarestanensis ,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Cucurbitariaceae;Pyrenochaetopsis
ASV_1026,ASV_1026,220,0.01433179,Fungi;Olpidiomycota;Olpidiomycetes;Olpidiales;Olpidiaceae;Olpidium;,Fungi;Olpidiomycota;Olpidiomycetes;Olpidiales;Olpidiaceae;Olpidium
ASV_1027,ASV_1027,219,0.014266646,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
ASV_1028,ASV_1028,219,0.014266646,Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiales;Cystobasidiaceae;Cystobasidium;Cystobasidium slooffiae ,Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiales;Cystobasidiaceae;Cystobasidium
ASV_1031,ASV_1031,218,0.014201501,Fungi;;;;;;,Fungi;;;;;
ASV_1032,ASV_1032,218,0.014201501,Fungi;Ascomycota;Sordariomycetes;Sordariales;;;,Fungi;Ascomycota;Sordariomycetes;Sordariales;;
ASV_1033,ASV_1033,217,0.014136357,Fungi;;;;;;,Fungi;;;;;
ASV_1034,ASV_1034,217,0.014136357,Fungi;Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber;,Fungi;Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber
ASV_1035,ASV_1035,217,0.014136357,Fungi;;;;;;,Fungi;;;;;
ASV_1036,ASV_1036,217,0.014136357,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
ASV_1037,ASV_1037,217,0.014136357,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Curvularia;Curvularia mebaldsii ,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Curvularia
ASV_1038,ASV_1038,217,0.014136357,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
ASV_1039,ASV_1039,216,0.014071212,Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae;;,Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae;
ASV_1040,ASV_1040,216,0.014071212,Fungi;Ascomycota;Sordariomycetes;Hypocreales;;Acremonium;Acremonium sclerotigenum ,Fungi;Ascomycota;Sordariomycetes;Hypocreales;;Acremonium
ASV_1042,ASV_1042,216,0.014071212,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
ASV_1043,ASV_1043,216,0.014071212,Fungi;Basidiomycota;Tremellomycetes;Tremellales;;;,Fungi;Basidiomycota;Tremellomycetes;Tremellales;;
ASV_1044,ASV_1044,216,0.014071212,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Paraboeremia;Paraboeremia selaginellae ,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Paraboeremia
ASV_1045,ASV_1045,215,0.014006068,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;Alternaria subcucurbitae ,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria
ASV_1047,ASV_1047,215,0.014006068,Fungi;Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Acrospermum;,Fungi;Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Acrospermum
ASV_1048,ASV_1048,215,0.014006068,Fungi;Basidiomycota;Cystobasidiomycetes;;;;,Fungi;Basidiomycota;Cystobasidiomycetes;;;
ASV_1049,ASV_1049,214,0.013940923,Fungi;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Zopfiella;,Fungi;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Zopfiella
ASV_1050,ASV_1050,214,0.013940923,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala;Exophiala psychrophila ,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala
ASV_1051,ASV_1051,214,0.013940923,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
ASV_1053,ASV_1053,213,0.013875779,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
ASV_1054,ASV_1054,213,0.013875779,Fungi;Basidiomycota;Microbotryomycetes;;Chrysozymaceae;Spencerozyma;Spencerozyma crocea ,Fungi;Basidiomycota;Microbotryomycetes;;Chrysozymaceae;Spencerozyma
ASV_1055,ASV_1055,213,0.013875779,Fungi;Basidiomycota;Microbotryomycetes;Leucosporidiales;Leucosporidiaceae;Leucosporidium;Leucosporidium fragarium ,Fungi;Basidiomycota;Microbotryomycetes;Leucosporidiales;Leucosporidiaceae;Leucosporidium
ASV_1056,ASV_1056,213,0.013875779,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora
ASV_1057,ASV_1057,213,0.013875779,Fungi;Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Acrospermum;,Fungi;Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Acrospermum
ASV_1058,ASV_1058,212,0.013810634,Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiales;Cystobasidiaceae;Occultifur;Occultifur kilbournensis ,Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiales;Cystobasidiaceae;Occultifur
ASV_1059,ASV_1059,212,0.013810634,Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Ceratobasidiaceae;Ceratobasidium;,Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Ceratobasidiaceae;Ceratobasidium
ASV_1060,ASV_1060,212,0.013810634,Fungi;Ascomycota;Dothideomycetes;Pleosporales;;;,Fungi;Ascomycota;Dothideomycetes;Pleosporales;;
ASV_1062,ASV_1062,212,0.013810634,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
ASV_1064,ASV_1064,211,0.01374549,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
